Año,Trimestre,Mes,Día,CategoryName,ProductName,Cliente,VENTAS
1996,Qtr 3,julio,4,Dairy Products,Mozzarella di Giovanni,Vins et alcools Chevalier,$174
1996,Qtr 3,julio,4,Dairy Products,Queso Cabrales,Vins et alcools Chevalier,$168
1996,Qtr 3,julio,4,Grains/Cereals,Singaporean Hokkien Fried Mee,Vins et alcools Chevalier,$98
1996,Qtr 3,julio,5,Produce,Manjimup Dried Apples,Toms Spezialitäten,$1696
1996,Qtr 3,julio,5,Produce,Tofu,Toms Spezialitäten,$167
1996,Qtr 3,julio,8,Grains/Cereals,Gustaf's Knäckebröd,Victuailles en stock,$96
1996,Qtr 3,julio,8,Seafood,Jack's New England Clam Chowder,Hanari Carnes,$77
1996,Qtr 3,julio,8,Condiments,Louisiana Fiery Hot Pepper Sauce,Hanari Carnes,$214
1996,Qtr 3,julio,8,Condiments,Louisiana Fiery Hot Pepper Sauce,Victuailles en stock,$336
1996,Qtr 3,julio,8,Produce,Manjimup Dried Apples,Hanari Carnes,$1261
1996,Qtr 3,julio,8,Grains/Cereals,Ravioli Angelo,Victuailles en stock,$222
1996,Qtr 3,julio,9,Dairy Products,Camembert Pierrot,Suprêmes délices,$1088
1996,Qtr 3,julio,9,Dairy Products,Geitost,Suprêmes délices,$48
1996,Qtr 3,julio,9,Confections,Sir Rodney's Marmalade,Suprêmes délices,$2462
1996,Qtr 3,julio,10,Beverages,Chartreuse verte,Hanari Carnes,$605
1996,Qtr 3,julio,10,Dairy Products,Gorgonzola Telino,Hanari Carnes,$200
1996,Qtr 3,julio,10,Confections,Maxilaku,Hanari Carnes,$640
1996,Qtr 3,julio,11,Beverages,Guaraná Fantástica,Chop-suey Chinese,$46
1996,Qtr 3,julio,11,Produce,Longlife Tofu,Chop-suey Chinese,$168
1996,Qtr 3,julio,11,Meat/Poultry,Pâté chinois,Chop-suey Chinese,$343
1996,Qtr 3,julio,12,Beverages,Chang,Richter Supermarkt,$304
1996,Qtr 3,julio,12,Seafood,Inlagd Sill,Richter Supermarkt,$380
1996,Qtr 3,julio,12,Confections,Pavlova,Richter Supermarkt,$487
1996,Qtr 3,julio,12,Dairy Products,Raclette Courdavault,Richter Supermarkt,$1320
1996,Qtr 3,julio,15,Condiments,Original Frankfurter grüne Soße,Wellington Importadora,$125
1996,Qtr 3,julio,15,Meat/Poultry,Perth Pasties,Wellington Importadora,$393
1996,Qtr 3,julio,16,Beverages,Chartreuse verte,HILARION-Abastos,$86
1996,Qtr 3,julio,16,Condiments,Original Frankfurter grüne Soße,HILARION-Abastos,$156
1996,Qtr 3,julio,16,Confections,Schoggi Schokolade,HILARION-Abastos,$878
1996,Qtr 3,julio,17,Beverages,Chang,Ernst Handel,$608
1996,Qtr 3,julio,17,Condiments,Chef Anton's Gumbo Mix,Ernst Handel,$884
1996,Qtr 3,julio,17,Dairy Products,Mascarpone Fabioli,Ernst Handel,$123
1996,Qtr 3,julio,18,Seafood,Gravad lax,Centro comercial Moctezuma,$21
1996,Qtr 3,julio,18,Confections,Sir Rodney's Scones,Centro comercial Moctezuma,$80
1996,Qtr 3,julio,19,Seafood,Jack's New England Clam Chowder,Ottilies Käseladen,$92
1996,Qtr 3,julio,19,Beverages,Outback Lager,Ottilies Käseladen,$189
1996,Qtr 3,julio,19,Grains/Cereals,Ravioli Angelo,Ottilies Käseladen,$780
1996,Qtr 3,julio,19,Confections,Sir Rodney's Scones,Que Delícia,$160
1996,Qtr 3,julio,19,Beverages,Steeleye Stout,Que Delícia,$288
1996,Qtr 3,julio,19,Confections,Tarte au sucre,Ottilies Käseladen,$443
1996,Qtr 3,julio,22,Condiments,Chef Anton's Gumbo Mix,Rattlesnake Canyon Grocery,$163
1996,Qtr 3,julio,22,Grains/Cereals,Gnocchi di nonna Alice,Rattlesnake Canyon Grocery,$61
1996,Qtr 3,julio,22,Produce,Uncle Bob's Organic Dried Pears,Rattlesnake Canyon Grocery,$360
1996,Qtr 3,julio,23,Beverages,Guaraná Fantástica,Ernst Handel,$101
1996,Qtr 3,julio,23,Produce,Longlife Tofu,Ernst Handel,$216
1996,Qtr 3,julio,23,Seafood,Nord-Ost Matjeshering,Ernst Handel,$932
1996,Qtr 3,julio,23,Confections,Pavlova,Ernst Handel,$626
1996,Qtr 3,julio,24,Beverages,Chang,Folk och fä HB,$532
1996,Qtr 3,julio,24,Seafood,Jack's New England Clam Chowder,Folk och fä HB,$164
1996,Qtr 3,julio,25,Meat/Poultry,Alice Mutton,Blondesddsl père et fils,$936
